GG Langtext;DST Langtext;Förderprogramm;Postleitzahl;Ausbezahlte Fördersumme;Anzahl der Förderfälle
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1230;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1120;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;800;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1190;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1050;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1200;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1160;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1130;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1230;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1120;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1040;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1180;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1190;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1180;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1150;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1150;507,92;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1200;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1170;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1180;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1200;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1230;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1100;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1050;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1160;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1210;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1130;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1080;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1100;637,9;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1130;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;800;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;757,92;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1130;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1150;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1160;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1150;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1170;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1210;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;800;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1010;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1220;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1190;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1010;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1230;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1120;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;800;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1100;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1060;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1230;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1090;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1170;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1200;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1020;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1210;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1050;800;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1140;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1030;1000;1
Innovation, Stadtplanung und Mobilität;Straßenverwaltung und Straßenbau;"Förderung von (Elektro-)Transportfahrrädern, ""Spezialfahrrädern"" und ""Grätzlrädern""";1050;1000;1
